asset,commission_year,fixed_cost,investment_cost,investment_limit,fixed_cost_storage_energy,investment_cost_storage_energy,investment_limit_storage_energy,storage_loss_from_stored_energy
demandBE,2030,0,0,,0,0,,0
demandBE,2040,0,0,,0,0,,0
demandBE,2050,0,0,,0,0,,0
ensBE,2030,0,0,,0,0,,0
ensBE,2040,0,0,,0,0,,0
ensBE,2050,0,0,,0,0,,0
demandDE,2030,0,0,,0,0,,0
demandDE,2040,0,0,,0,0,,0
demandDE,2050,0,0,,0,0,,0
ensDE,2030,0,0,,0,0,,0
ensDE,2040,0,0,,0,0,,0
ensDE,2050,0,0,,0,0,,0
demandDK,2030,0,0,,0,0,,0
demandDK,2040,0,0,,0,0,,0
demandDK,2050,0,0,,0,0,,0
ensDK,2030,0,0,,0,0,,0
ensDK,2040,0,0,,0,0,,0
ensDK,2050,0,0,,0,0,,0
demandNL,2030,0,0,,0,0,,0
demandNL,2040,0,0,,0,0,,0
demandNL,2050,0,0,,0,0,,0
ensNL,2030,0,0,,0,0,,0
ensNL,2040,0,0,,0,0,,0
ensNL,2050,0,0,,0,0,,0
demandNO,2030,0,0,,0,0,,0
demandNO,2040,0,0,,0,0,,0
demandNO,2050,0,0,,0,0,,0
ensNO,2030,0,0,,0,0,,0
ensNO,2040,0,0,,0,0,,0
ensNO,2050,0,0,,0,0,,0
demandUK,2030,0,0,,0,0,,0
demandUK,2040,0,0,,0,0,,0
demandUK,2050,0,0,,0,0,,0
ensUK,2030,0,0,,0,0,,0
ensUK,2040,0,0,,0,0,,0
ensUK,2050,0,0,,0,0,,0
wind,2025,68,2300,0.0,0,0,,0
wind,2030,65,2060,107.567,0,0,,0
wind,2040,58,1900,186.156,0,0,,0
wind,2050,56,1880,217.081,0,0,,0
